	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Лорелея	4	6	Harpy	4	6	Harpy	4	6	Harpy
Арлах	30	40	Troglodyte	1	1	Ballista	3	4	Beholder
Дас	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Аджит	30	40	Troglodyte	3	4	Beholder	3	4	Beholder
Дамакон	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Ґуннар	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Сінка	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Шакті	30	40	Troglodyte	30	40	Troglodyte	30	40	Troglodyte
Аламар	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Джаґар	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Малекіт	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Джеддіт	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Ґеот	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Дімер	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Сефінрот	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Дарксторн	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Йоґ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Ґарнісон	15	25	Goblin	1	1	Ballista	4	6	Orc
Джабаркас	15	25	Goblin	4	6	Orc	4	6	Orc
Шива	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Ґретчін	15	25	Goblin	15	25	Goblin	15	25	Goblin
Крелліон	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Краґ Хак	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Тіраксор	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
Ґірд	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Вей	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Десса	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Терек	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Зубін	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Гундула	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Оріс	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Сауруґ	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Брон	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Дракон	10	20	Gnoll	10	20	Gnoll	10	20	Gnoll
Вістан	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman
Тазар	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Алкін	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Корбак	10	20	Gnoll	2	4	SerpentFly	2	4	DragonFly
Ґервульф	10	20	Gnoll	1	1	Ballista	2	4	SerpentFly
Броґхіл	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Мірланда	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Росика	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Воя	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Вердиш	10	20	Gnoll	1	1	FirstAidTent	2	4	SerpentFly
Меріста	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Стига	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Андра	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Тива	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Разіс	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Тунара	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Іґнісса	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Лакус	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Монере	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Ердамон	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Фіур	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Кальт	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Луна	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Брісса	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Сіель	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Лабета	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Інтеус	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Аенайн	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ґелар	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ґріндан	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Сер Мюлліх	10	20	Pikeman	4	7	Archer	2	3	Griffin
Адріана	10	20	Gnoll	4	7	Lizardman	2	4	Serpent Fly
Катерина	10	20	Pikeman	4	7	Archer	2	3	Griffin
Дракон	6	6	Enchanters	3	3	Enchanters	1	1	Enchanters
Ґело	6	6	Sharpshooters	3	3	Sharpshooters	1	1	Sharpshooters
Кілґор	15	25	Goblins	5	7	Goblin Wolf Rider	4	6	Orc
Лорд Хаарт	20	30	Skeleton	4	6	Zombie	4	6	Wight
Мутара	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Роланд	10	20	Pikeman	4	7	Archer	2	3	Griffin
Мутара Драк	10	20	Pikeman	4	7	Archer	2	3	Griffin
Бораґус	10	20	Pikeman	4	7	Archer	2	3	Griffin
Ксерон	10	20	Pikeman	4	7	Archer	2	3	Griffin
