			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Політ	Політ	5				x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Політ}

Дозволяє вашій армії використовувати частину очок руху, щоб літати над перешкодами. Ви мусите приземлитися в кінці ходу.
"	"{Політ 1-го рівня}

Дозволяє вашій армії використовувати частину очок руху, щоб літати над перешкодами. Ви мусите приземлитися в кінці ходу.
"	"{Політ 2-го рівня}

Дозволяє вашій армії використовувати більшу частину очок руху, щоб літати над перешкодами. Ви мусите приземлитися в кінці ходу.
"	"{Політ 3-го рівня}

Дозволяє вашій армії використати всі очки руху, щоб літати над перешкодами. Ви мусите приземлитися в кінці ходу.
"	 ADV_SPELL
Ходьба по воді	Ходьба по воді	4		x			12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Ходьба по воді}

Дозволяє вашій армії використати частину очок руху, щоб переходити водойми. Ви мусите закінчити хід на сухій землі.
"	"{Ходьба по воді 1-го рівня}

Дозволяє вашій армії використати частину очок руху, щоб переходити водойми. Ви мусите закінчити хід на сухій землі.
"	"{Ходьба по воді 2-го рівня}

Дозволяє вашій армії використати більшу частину очок руху, щоб переходити водойми. Ви мусите закінчити хід на сухій землі.
"	"{Ходьба по воді 3-го рівня}

Дозволяє вашій армії використати всі очки руху, щоб переходити водойми. Ви мусите закінчити хід на сухій землі.
"	 ADV_SPELL
Просторова Брама	Просторова Брама	5				x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Просторова Брама}

Раз на день, ви можете телепортувати свого героя до видимого, вільного місця на мапі пригод.
"	"{Просторова Брама 1-го рівня}

Двічі на день, ви можете телепортувати свого героя до видимого, вільного місця на мапі пригод.
"	"{Просторова Брама 2-го рівня}

Тричі на день, ви можете телепортувати свого героя до видимого, вільного місця на мапі пригод.
"	"{Просторова Брама 3-го рівня}

Чотири рази на день, ви можете телепортувати свого героя до видимого, вільного місця на мапі пригод.
"	 ADV_SPELL
Портал Міста	Портал Міста	4	x				16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Портал Міста}

Телепортує вашого героя до найближчого дружнього міста. Місто має бути незайняте.
"	"{Портал Міста 1-го рівня}

Телепортує вашого героя до найближчого дружнього міста. Місто має бути незайняте.
"	"{Портал Міста 2-го рівня}

Телепортує вашого героя до будь-якого дружнього міста. Місто має бути незайняте.
"	"{Портал Міста 3-го рівня}

Телепортує вашого героя до будь-якого дружнього міста. Місто має бути незайняте.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Сипучий Пісок	Сипучий Пісок	2	x				8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Сипучий пісок}

Випадково створює чотири невеликих місця сипучих пісків на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Той, хто зайде в сипучий пісок закінчує свій рух до кінця ходу і робить його видимим для всіх.
"	"{Сипучий пісок 1-го рівня}

Випадково створює чотири невеликих місця сипучих пісків на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Той, хто зайде в сипучий пісок закінчує свій рух до кінця ходу і робить його видимим для всіх.
"	"{Сипучий пісок 2-го рівня}

Випадково створює шість невеликих місць сипучих пісків на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Той, хто зайде в сипучий пісок закінчує свій рух до кінця ходу і робить його видимим для всіх.
"	"{Сипучий пісок 3-го рівня}

Випадково створює вісім невеликих місць сипучих пісків на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Той, хто зайде в сипучий пісок закінчує свій рух до кінця ходу і робить його видимим для всіх.
"	 COMBAT_SPELL|LOCATION_TARGET
Міни Землі	Міни Землі	3			x		18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Міни Землі}

Випадково розташовує чотири міни Землі на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Міни завдають пошкоджень кожному, хто на них стане.
"	"{Міни Землі 1-го рівня}

Випадково розташовує чотири міни Землі на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Міни завдають пошкоджень кожному, хто на них стане.
"	"{Міни Землі 2-го рівня}

Випадково розташовує шість мін Землі на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Міни завдають пошкоджень кожному, хто на них стане.

Завдає на 25 більше пошкоджень, ніж міна Землі 1-го рівня.
"	"{Міни Землі 3-го рівня}

Випадково розташовує вісім мін Землі на полі бою, видимі лише заклинателю і істотам, для яких ця місцевість є рідною. Міни завдають пошкоджень кожному, хто на них стане.

Завдає на 75 більше пошкоджень, ніж міна Землі 1-го рівня.
"	 COMBAT_SPELL|LOCATION_TARGET
Силове Поле	Силове Поле	3	x				12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Силове поле}

Створює невелике силове поле на полі бою в точці, яку вказує заклинатель.
"	"{Силове поле 1-го рівня}

Створює невелике силове поле на полі бою в точці, яку вказує заклинатель.
"	"{Силове поле 2-го рівня}

Створює силове поле середніх розмірів на полі бою в точці, яку вказує заклинатель.
"	"{Силове поле 3-го рівня}

Створює силове поле середніх розмірів на полі бою в точці, яку вказує заклинатель.
"	 COMBAT_SPELL|LOCATION_TARGET
Вогненна Стіна	Вогненна Стіна	2			x		8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Вогненна стіна}

Створює невелику стіну вогню на полі бою в точці, на яку вказує заклинатель. Кожен, хто пройде крізь цю стіну, отримає пошкодження.
"	"{Вогненна стіна 1-го рівня}

Створює невелику стіну вогню на полі бою в точці, на яку вказує заклинатель. Кожен, хто пройде крізь цю стіну, отримає пошкодження.
"	"{Вогненна стіна 2-го рівня}

Створює стіну вогню середніх розмірів на полі бою в точці, на яку вказує заклинатель. Кожен, хто пройде крізь цю стіну, отримає пошкодження.
"	"{Вогненна стіна 3-го рівня}

Створює стіну вогню середніх розмірів на полі бою в точці, на яку вказує заклинатель. Кожен, хто пройде крізь цю стіну, отримає пошкодження.
"	 COMBAT_SPELL|LOCATION_TARGET
Землетрус	Землетрус	3	x				20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Землетрус}

Випадково наносить пошкодження двом частинам стіни замку в бою.
"	"{Землетрус 1-го рівня}

Випадково наносить пошкодження двом частинам стіни замку в бою.
"	"{Землетрус 2-го рівня}

Випадково наносить пошкодження трьом частинам стіни замку в бою.
"	"{Землетрус 3-го рівня}

Випадково наносить пошкодження чотирьом частинам стіни замку в бою.
"	 COMBAT_SPELL
Магічна Стріла	Магічна Стріла	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Магічна стріла}

Створює стрілу магічної енергії, щоб вразити ворожий загін.
"	"{Магічна стріла 1-го рівня}

Створює стрілу магічної енергії, щоб вразити ворожий загін.
"	"{Магічна стріла 2-го рівня}

Створює стрілу магічної енергії, щоб вразити ворожий загін.

Наносить на 10 пошкоджень більше ніж Магічна стріла 1-го рівня.
"	"{Магічна стріла 3-го рівня}

Створює стрілу магічної енергії, щоб вразити ворожий загін.

Наносить на 20 пошкоджень більше ніж Магічна стріла 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Крижана Стріла	Крижана Стріла	2		x			8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Крижана стріла}

Витягує тепло тіла з вибраного ворожого загону.
"	"{Крижана стріла 1-го рівня}

Витягує тепло тіла з вибраного ворожого загону.
"	"{Крижана стріла 2-го рівня}

Витягує тепло тіла з вибраного ворожого загону.

Завдає на 10 пошкоджень більше ніж Крижана стріла 1-го рівня.
"	"{Крижана стріла 3-го рівня}

Витягує тепло тіла з вибраного ворожого загону.

Завдає на 40 пошкоджень більше ніж Крижана стріла 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Блискавка	Блискавка	2				x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Блискавка}

Викликає блискавку, щоб вразити ворожий загін.
"	"{Блискавка 1-го рівня}

Викликає блискавку, щоб вразити ворожий загін.
"	"{Блискавка 2-го рівня}

Викликає блискавку, щоб вразити ворожий загін.

Завдає на 10 пошкоджень більше ніж Блискавка 1-го рівня.
"	"{Блискавка 3-го рівня}

Викликає блискавку, щоб вразити ворожий загін.

Завдає на 40 пошкоджень більше ніж Блискавка 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Вибух	Вибух	5	x				30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Вибух}

Завдає масивних пошкоджень одному загону істот.
"	"{Вибух 1-го рівня}

Завдає масивних пошкоджень одному загону істот.
"	"{Вибух 2-го рівня}

Завдає масивних пошкоджень одному загону істот.

Завдає на 100 пошкоджень більше ніж Вибух 1-го рівня.
"	"{Вибух 3-го рівня}

Завдає масивних пошкоджень одному загону істот.

Завдає на 200 пошкоджень більше ніж Вибух 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Ланцюгова Блискавка	Ланцюгова Блискавка	4				x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Ланцюгова блискавка}

Викликає на обраний загін блискавку, яка прямує до найближчого сусіднього загону, завдаючи при цьому половину пошкоджень від попередніх, рухається до наступного сусіднього загону, знову завдає пошкоджень, і так далі. Вражає чотири загони.
"	"{Ланцюгова блискавка 1-го рівня}

Викликає на обраний загін блискавку, яка прямує до найближчого сусіднього загону, завдаючи при цьому половину пошкоджень від попередніх, рухається до наступного сусіднього загону, знову завдає пошкоджень, і так далі. Вражає чотири загони.
"	"{Ланцюгова блискавка 2-го рівня}

Викликає на обраний загін блискавку, яка прямує до найближчого сусіднього загону, завдаючи при цьому половину пошкоджень від попередніх, рухається до наступного сусіднього загону, знову завдає пошкоджень, і так далі. Вражає п'ять загонів.

Початкові пошкодження на 25 більші ніж у Ланцюгової блискавки 1-го рівня.
"	"{Ланцюгова блискавка 3-го рівня}

Викликає на обраний загін блискавку, яка прямує до найближчого сусіднього загону, завдаючи при цьому половину пошкоджень від попередніх, рухається до наступного сусіднього загону, знову завдає пошкоджень, і так далі. Вражає п'ять загонів.

Початкові пошкодження на 75 більші ніж у Ланцюгової блискавки 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Крижане Коло	Крижане Коло	3		x			12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Крижане коло}

Витягує тепло тіл будь-якої істоти у зоні навколо цілі, не завдаючи їй пошкоджень.
"	"{Крижане коло 1-го рівня}

Витягує тепло тіл будь-якої істоти у зоні навколо цілі, не завдаючи їй пошкоджень.
"	"{Крижане коло 2-го рівня}

Витягує тепло тіл будь-якої істоти у зоні навколо цілі, не завдаючи їй пошкоджень.

Завдає на 15 пошкоджень більше ніж Крижане коло 1-го рівня.
"	"{Крижане коло 3-го рівня}

Витягує тепло тіл будь-якої істоти у зоні навколо цілі, не завдаючи їй пошкоджень.

Завдає на 45 пошкоджень більше ніж Крижане коло 1-го рівня.
"	 COMBAT_SPELL|LOCATION_TARGET
Вогненна Куля	Вогненна Куля	3			x		15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Вогненна куля}

Змушує обрану ціль спалахнути в полум'ї, завдаючи пошкоджень вогнем їй і сусіднім загонам.
"	"{Вогненна куля 1-го рівня}

Змушує обрану ціль спалахнути в полум'ї, завдаючи пошкоджень вогнем їй і сусіднім загонам.
"	"{Вогненна куля 2-го рівня}

Змушує обрану ціль спалахнути в полум'ї, завдаючи пошкоджень вогнем їй і сусіднім загонам.

Завдає на 15 більше пошкоджень ніж Вогненна куля 1-го рівня.
"	"{Вогненна куля 3-го рівня}

Змушує обрану ціль спалахнути в полум'ї, завдаючи пошкоджень вогнем їй і сусіднім загонам.

Завдає на 45 більше пошкоджень ніж Вогненна куля 1-го рівня.
"	 COMBAT_SPELL|LOCATION_TARGET
Інферно	Інферно	4			x		16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Інферно}

Спричиняє великий вибух вогню, щоб вразити обрану ціль. Не будьте поруч коли це відбувається!
"	"{Інферно 1-го рівня}

Спричиняє великий вибух вогню, щоб вразити обрану ціль. Не будьте поруч коли це відбувається!
"	"{Інферно 2-го рівня}

Спричиняє великий вибух вогню, щоб вразити обрану ціль. Не будьте поруч коли це відбувається!

Завдає на 20 пошкоджень більше ніж Інферно 1-го рівня.
"	"{Інферно 3-го рівня}

Спричиняє великий вибух вогню, щоб вразити обрану ціль. Не будьте поруч коли це відбувається!

Завдає на 60 пошкоджень більше ніж Інферно 1-го рівня.
"	 COMBAT_SPELL|LOCATION_TARGET
Метеоритний Дощ	Метеоритний Дощ	4	x				16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Метеоритний дощ}

Спричиняє метеоритний дощ, який падає на обрану ціль і сусідні загони.
"	"{Метеоритний дощ 1-го рівня}

Спричиняє метеоритний дощ, який падає на обрану ціль і сусідні загони.
"	"{Метеоритний дощ 2-го рівня}

Спричиняє метеоритний дощ, який падає на обрану ціль і сусідні загони.

Завдає на 25 більше пошкоджень ніж Метеоритний дощ 1-го рівня.
"	"{Метеоритний дощ 3-го рівня}

Спричиняє метеоритний дощ, який падає на обрану ціль і сусідні загони.

Завдає на 75 більше пошкоджень ніж Метеоритний дощ 1-го рівня.
"	 COMBAT_SPELL|LOCATION_TARGET
Смертельне Тремтіння	Смертельне Тремтіння	2	x				10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Смертельне тремтіння}

Посилає крізь поле бою хвилю смерті, яка вражає всіх істот, окрім нежиті.
"	"{Смертельне тремтіння 1-го рівня}

Посилає крізь поле бою хвилю смерті, яка вражає всіх істот, окрім нежиті.
"	"{Смертельне тремтіння 2-го рівня}

Посилає крізь поле бою хвилю смерті, яка вражає всіх істот, окрім нежиті.

Завдає на 10 пошкоджень більше ніж Смертельне тремтіння 1-го рівня.
"	"{Смертельне тремтіння 3-го рівня}

Посилає крізь поле бою хвилю смерті, яка вражає всіх істот, окрім нежиті.

Завдає на 20 пошкоджень більше ніж Смертельне тремтіння 1-го рівня.
"	 COMBAT_SPELL
Знищити Нежить	Знищити Нежить	3				x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Знищити нежить}

Намагається знищити будь-яку нежить на полі бою.
"	"{Знищити нежить 1-го рівня}

Намагається знищити будь-яку нежить на полі бою.
"	"{Знищити нежить 2-го рівня}

Намагається знищити будь-яку нежить на полі бою.

Завдає на 10 пошкоджень більше ніж Знищити нежить 1-го рівня.
"	"{Знищити нежить 3-го рівня}

Намагається знищити будь-яку нежить на полі бою.

Завдає на 40 пошкоджень більше ніж Знищити нежить 1-го рівня.
"	 COMBAT_SPELL
Армагеддон	Армагеддон	4			x		24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Армагеддон}

Вогненний дощ падає на поле бою, вражаючи всі загони.
"	"{Армагеддон 1-го рівня}

Вогненний дощ падає на поле бою, вражаючи всі загони.
"	"{Армагеддон 2-го рівня}

Вогненний дощ падає на поле бою, вражаючи всі загони.

Завдає на 30 пошкоджень більше ніж Армагеддон 1-го рівня.
"	"{Армагеддон 3-го рівня}

Вогненний дощ падає на поле бою, вражаючи всі загони.

Завдає на 90 пошкоджень більше ніж Армагеддон 1-го рівня.
"	 COMBAT_SPELL
Щит	Щит	1	x				5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Щит}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від атак у ближньому бою.
"	"{Щит 1-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від атак у ближньому бою.
"	"{Щит 2-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від атак у ближньому бою.

Захист вдвічі сильніший ніж у Щита 1-го рівня
"	"{Щит 3-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від атак у ближньому бою.

Захист вдвічі сильніший ніж у Щита 1-го рівня
"	 COMBAT_SPELL|CREATURE_TARGET_2
Повітряний Щит	Повітряний Щит	3				x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Повітряний щит}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від пострілів.
"	"{Повітряний щит 1-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від пострілів.
"	"{Повітряний щит 2-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від пострілів.

Захист вдвічі сильніший ніж у повітряного щита 1-го рівня.
"	"{Повітряний щит 3-го рівня}

Захищає обраний загін, зменшуючи кількість пошкоджень отриманих від пострілів.

Захист вдвічі сильніший ніж у повітряного щита 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Вогненний Щит	Вогненний Щит	4			x		16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Вогненний щит}

Накладений на дружній загін, не створює жодного додаткового захисту, але кожна ворожа атака через вогненний щит буде завдавати ворогу пошкоджень рівних тим, які завдав він.
"	"{Вогненний щит 1-го рівня}

Накладений на дружній загін, не створює жодного додаткового захисту, але кожна ворожа атака через вогненний щит буде завдавати ворогу пошкоджень рівних тим, які завдав він.
"	"{Вогненний щит 2-го рівня}

Накладений на дружній загін, не створює жодного додаткового захисту, але кожна ворожа атака через вогненний щит буде завдавати ворогу пошкоджень рівних тим, які завдав він.

Пошкодження, що завдаються атакуючому ворогу, на 5% більші ніж у вогненного щита 1-го рівня.
"	"{Вогненний щит 3-го рівня}

Накладений на дружній загін, не створює жодного додаткового захисту, але кожна ворожа атака через вогненний щит буде завдавати ворогу пошкоджень рівних тим, які завдав він.

Пошкодження, що завдаються атакуючому ворогу, на 10% більші ніж у вогненного щита 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Захист від Повітря	Захист від Повітря	2				x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Захист від Повітря}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Повітря.
"	"{Захист від Повітря 1-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Повітря.
"	"{Захист від Повітря 2-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Повітря.

Захист приблизно вдвічі сильніший ніж у Захисту від Повітря 1-го рівня.
"	"{Захист від Повітря 3-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Повітря.

Захист приблизно вдвічі сильніший ніж у Захисту від Повітря 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Захист від Вогню	Захист від Вогню	1			x		5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Захист від Вогню}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Вогню.
"	"{Захист від Вогню 1-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Вогню.
"	"{Захист від Вогню 2-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Вогню.

Захист приблизно вдвічі сильніший ніж у Захисту від Вогню 1-го рівня.
"	"{Захист від Вогню 3-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Вогню.

Захист приблизно вдвічі сильніший ніж у Захисту від Вогню 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Захист від Води	Захист від Води	1		x			5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Захист від Води}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Води.
"	"{Захист від Води 1-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Води.
"	"{Захист від Води 2-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Води.

Захист приблизно вдвічі сильніший ніж у Захисту від Води 1-го рівня.
"	"{Захист від Води 3-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Води.

Захист приблизно вдвічі сильніший ніж у Захисту від Води 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Захист від Землі	Захист від Землі	3	x				12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Захист від Землі}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Землі.
"	"{Захист від Землі 1-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Землі.
"	"{Захист від Землі 2-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Землі.

Захист приблизно вдвічі сильніший ніж у Захисту від Землі 1-го рівня.
"	"{Захист від Землі 3-го рівня}

Захищає обраний загін, зменшуючи пошкодження, які завдаються магією Землі.

Захист приблизно вдвічі сильніший ніж у Захисту від Землі 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Антимагія	Антимагія	3	x				15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Антимагія}

Захищає вибраний загін від усіх заклинань низького рівня.
"	"{Антимагія 1-го рівня}

Захищає вибраний загін від усіх заклинань низького рівня.
"	"{Антимагія 2-го рівня}

Захищає вибраний загін від усіх заклинань крім заклинань високого рівня.
"	"{Антимагія 3-го рівня}

Захищає вибраний загін від усіх заклинань.
"	 COMBAT_SPELL|CREATURE_TARGET
Розсіювання	Розсіювання	1		x			5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Розсіювання}

Знімає всі магічні ефекти з дружнього загону.
"	"{Розсіювання 1-го рівня}

Знімає всі магічні ефекти з дружнього загону.
"	"{Розсіювання 2-го рівня}

Знімає всі магічні ефекти з дружнього або ворожого загону.
"	"{Розсіювання 3-го рівня}

Знімає всі магічні ефекти з усіх загонів на полі бою.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Магічне Дзеркало	Магічне Дзеркало	5				x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Магічне дзеркало}

Відбиває ворожі заклинання до випадкової істоти ворога з силою в 20%.
"	"{Магічне дзеркало 1-го рівня}

Відбиває ворожі заклинання до випадкової істоти ворога з силою в 20%.
"	"{Магічне дзеркало 2-го рівня}

Відбиває ворожі заклинання до випадкової істоти ворога з силою в 30%.
"	"{Магічне дзеркало 3-го рівня}

Відбиває ворожі заклинання до випадкової істоти ворога з силою в 40%.
"	 COMBAT_SPELL|CREATURE_TARGET
